Full_Date,Open,High,Low,Close,Index
5/17/2016,304.98,305.02,304.67,304.72,DJ Global Index (World)
5/16/2016,305.91,306.26,305.9,306.12,DJ Global Index (World)
5/15/2016,303.98,303.98,303.98,303.98,DJ Global Index (World)
5/13/2016,303.9,303.9,303.7,303.9,DJ Global Index (World)
5/12/2016,306.3,306.33,306.16,306.18,DJ Global Index (World)
5/11/2016,307.26,307.3,306.9,307.04,DJ Global Index (World)
5/10/2016,308.5,309.06,308.48,309.01,DJ Global Index (World)
5/9/2016,305.14,305.24,305.06,305.16,DJ Global Index (World)
5/8/2016,305.3,305.3,305.3,305.3,DJ Global Index (World)
5/6/2016,305.59,305.59,303.86,305.59,DJ Global Index (World)
5/5/2016,305.33,305.45,305.07,305.07,DJ Global Index (World)
5/4/2016,305.87,305.94,305.79,305.81,DJ Global Index (World)
5/3/2016,308.34,308.42,308.3,308.33,DJ Global Index (World)
5/2/2016,312.19,312.41,312.12,312.4,DJ Global Index (World)
5/1/2016,311.48,311.48,310.46,311.48,DJ Global Index (World)
4/29/2016,311.58,313.34,310.31,311.58,DJ Global Index (World)
4/28/2016,312.97,313.11,312.93,313.1,DJ Global Index (World)
4/27/2016,314.14,315.23,314.1,314.38,DJ Global Index (World)
4/26/2016,313.84,313.92,313.78,313.85,DJ Global Index (World)
4/25/2016,313.02,313.08,312.88,312.92,DJ Global Index (World)
4/24/2016,313.88,314.01,313.88,313.88,DJ Global Index (World)
4/22/2016,313.99,313.99,312.96,313.99,DJ Global Index (World)
4/21/2016,314.79,314.87,314.48,314.73,DJ Global Index (World)
4/20/2016,315.26,315.85,315.2,315.68,DJ Global Index (World)
4/19/2016,315.38,315.84,315.35,315.75,DJ Global Index (World)
4/18/2016,312.09,313.12,312.06,313.08,DJ Global Index (World)
4/17/2016,311.43,311.43,311.43,311.43,DJ Global Index (World)
4/15/2016,311.55,311.79,311.14,311.55,DJ Global Index (World)
4/14/2016,311.7,311.72,311.34,311.39,DJ Global Index (World)
4/13/2016,310.68,311.15,310.58,310.98,DJ Global Index (World)
4/12/2016,306.78,307.31,306.72,307.16,DJ Global Index (World)
4/11/2016,304.15,304.46,304.08,304.38,DJ Global Index (World)
4/10/2016,304.02,304.02,304.02,304.02,DJ Global Index (World)
4/8/2016,303.97,304.95,303.97,303.97,DJ Global Index (World)
4/7/2016,301.61,301.66,300.93,301.04,DJ Global Index (World)
4/6/2016,304.05,304.47,304.02,304.46,DJ Global Index (World)
4/5/2016,301.51,301.6,301.42,301.49,DJ Global Index (World)
4/4/2016,305.5,305.56,305.01,305.04,DJ Global Index (World)
